Value/K,Name,IsCustomer,IsVendor,C_BP_Group_ID[Value],Description
C101823,SA BOUYGUES CONSTRUCTION,Y,N,Standard,FRA
C101834,TITAN SERVICE SA,Y,N,Standard,CHE
C101845,AFCONS INFRASTRUCTURE LIMITED,Y,N,Standard,MUS
C101856,IP BALIAN ROMAN PAYLAKOVIC,Y,N,Standard,RUS
C101861,GEOTECNIA GEOINTER INTERNACIONAL S.A.,Y,N,Standard,CRI
C101862,GEO FONTE s.r.o.,Y,N,Standard,CZE
C101866,ROSINTERTECH COMPANY LTD.,Y,N,Standard,RUS
C101874,GEOINVEST ITZ D.O.O. SURCIN,Y,N,Standard,SRB
C101883,ABULJADAYEL CO. FOR CONTRACTING & MAINTENANCE,Y,N,Standard,SAU
C101885,"OOO ""ANALYTICAL TECHNOLOGIES""",Y,N,Standard,RUS
C101888,SFDM SAS,Y,N,Standard,FRA
C101893,FAIRBROTHER GEOTECHNICAL ENGINEERING (PTY) LTD,Y,N,Standard,ZAF
C101895,RLB ENGINEERING SERVICES,Y,N,Standard,PHL
C101900,DORIG TECHNICAL SERVICES INTERNATIONAL LIMITED,Y,N,Standard,NGA
C101902,STRABAG GENERALEPITO KFT.,Y,N,Standard,HUN
C101903,BUSINESS DYNAMIC INTERNATIONAL GENERAL TRADING &,Y,N,Standard,KWT
C101905,SHABAT GROUP,Y,N,Standard,ISR
C101906,NSTT GMBH,Y,N,Standard,DEU
C101912,GROUPE GUANG PING INTERNATIONAL SARL,Y,N,Standard,COD
C101913,BOOMMATE INCORPORATED,Y,N,Standard,PHL
C101915,INGENIEROS Y ARQUITECTOS BUJANOS RODRÍGUEZ SA CV,Y,N,Standard,MEX
C101918,MAKKAH FOUNDATIONS CO. L.L.C.,Y,N,Standard,EGY
C101921,SOCIETE MANGO INTERNATIONAL SARL,Y,N,Standard,COD
C101925,SIF SA,Y,N,Standard,CHE
C101926,BANCA MIGROS SA,Y,N,Standard,CHE
C101929,FONDO PALI LLC,Y,N,Standard,UKR
C101938,SFS - INTERNATIONAL GmbH,Y,N,Standard,DEU
C101950,SOLOFIX ENGENHARIA E FUNDAÇOES LTDA.,Y,N,Standard,BRA
C101951,TERRATECH CORSE SARL,Y,N,Standard,FRA
C101953,SUN WHEEL KFT.,Y,N,Standard,HUN
C101959,AL KHALID DEWATERING & SHORING CO.,Y,N,Standard,KWT
C101960,MAX INFRA (I) LIMITED,Y,N,Standard,IND
C101969,"FIRMA HANDLOWA BUDNY S.C., A. BUDNY, W. KLUSEK",Y,N,Standard,POL
C101982,"OOO ""TONNELGEOSTROY""",Y,N,Standard,RUS
C101988,"CENTER ROCK, INC.",Y,N,Standard,USA
C101990,GT GROUND ENGINEERING &,Y,N,Standard,ROM
C101991,SMART FOUNDATION D.O.O.,Y,N,Standard,SRB
C101993,VASSERMANN PE,Y,N,Standard,UKR
C101995,"CONDON JOHNSON & ASSOCIATES, INC.",Y,N,Standard,USA
C102000,THE ARAB CONTRACTORS OSMAN AHMED OSMAN & CO.,Y,N,Standard,EGY
C102002,"OOO ""ATLANT SPB""",Y,N,Standard,RUS
C102004,VPD DRILL SHPK,Y,N,Standard,XKX
C102046,TUNNELSTROY LTD.,Y,N,Standard,BGR
C102060,GB LOGISTICS LLC,Y,N,Standard,GEO
C102061,DS DRILLING SH.P.K.,Y,N,Standard,ALB
C102063,"SM CORPORATION CO., LTD.",Y,N,Standard,THA
C102066,UNI PILES GEN. BUILDING CONT. CO. WLL,Y,N,Standard,KWT
C100463,GEOFUNDACIONES S.A.S.,Y,N,Standard,COL
C100535,JSCB HVB UKRAINE,Y,N,Standard,UKR
C100553,AKTOR S.A,Y,N,Standard,GRC
C100571,TEC SYSTEM,Y,N,Standard,FRA
C100595,EURO GROUP THEMELE SPECIALE SHPK,Y,N,Standard,ALB
C100604,"AUNG PYITAN CO., LTD.",Y,N,Standard,MMR
C100680,INTERNATIONAL FOUNDATION GROUP (L.L.C.),Y,N,Standard,AED
C100689,SIF GROUTBOR SA CONSORTIUM *NON USARE*,Y,N,Standard,CHE
C100739,RAIL STAR INTER.L TECHNOLOGY & CONSULTANTS LIMITED,Y,N,Standard,CHN
C100762,GRASA D.O.O.,Y,N,Standard,HRV
C100832,SINA 98 S.H.P.K.,Y,N,Standard,ALB
C100837,AMMICO CONTRACTING CO. W.L.L.,Y,N,Standard,QAT
C100855,HD ENGINEERING LTD,Y,N,Standard,HKG
C100856,"OOO ""GEOIZOL-STROY""",Y,N,Standard,RUS
C100905,S.C. APOLODOR COM IMPEX S.R.L.,Y,N,Standard,ROM
C100911,DABI SM BUDNY SP. Z O.O. SP.K,Y,N,Standard,POL
C100954,SARL YACHANG INDUSTRIELLE ET COMMERCIALE,Y,N,Standard,DZA
C100986,FOURMIFOR,Y,N,Standard,FRA
C100857,DAR ALTAKAMOL,Y,N,Standard,SAU
C100931,LARSEN & TOUBRO LTD.,Y,N,Standard,IND
C100939,ERA INFRA ENGINEERING LTD.,Y,N,Standard,IND
C100944,DUTCH FOUNDATION CO. (QATAR) W.L.L.,Y,N,Standard,QAT
C100952,SC AGISFOR S.R.L.,Y,N,Standard,ROM
C100958,GEO SOL ENGINEERING CO. LLC,Y,N,Standard,OMN
C101044,GEOKON CIMENTACIONES,Y,N,Standard,ESP
C101085,EURO ALLIANCE GEOTECHNICS JSC,Y,N,Standard,BGR
C101096,SOLOFIX ENGENHARIA COMERCIO FUNDACOES LTDA-NONUSAR,Y,N,Standard,BRA
C101132,MOTI DRILLING & DEVELOPMENT LTD,Y,N,Standard,ISR
C101140,SREE INFRA,Y,N,Standard,IND
C101179,MULTIGEO d.o.o.,Y,N,Standard,SVN
C101188,"ZAO ""PRISS""",Y,N,Standard,RUS
C101195,PILOTAJES GARCIA C.A.,Y,N,Standard,VEN
C101196,A.A. WILL EQUIPMENT CORP.,Y,N,Standard,USA
C101218,KELLER GROUND ENGINEERING INDIA PVT. LTD.,Y,N,Standard,IND
C101245,SOPERCO FRANCE SARL in C.P.,Y,N,Standard,FRA
C101267,INTERNATIONAL DRILLING EQUIPMENT PTY LTD,Y,N,Standard,AUS
C101297,"AO ""NEW GROUND""",Y,N,Standard,RUS
C101298,TRANSTONNELSTROY - AFCONS J V,Y,N,Standard,IND
C101322,SIRIUS REMEDIATION Ltd,Y,N,Standard,GBR
C101330,GEO-TECH EXPERT CONSULTING S.R.L.,Y,N,Standard,ROM
C101373,SPECIALIZED ITALIAN FOUNDATION CO. LTD.,Y,N,Standard,SAU
C101384,SALINI MALAYSIA SDN.BHD.,Y,N,Standard,MYS
C101405,L & T GEOSTRUCTURE LLP,Y,N,Standard,IND
C101426,IMPLENIA SCHWEIZ AG,Y,N,Standard,CHE
C101430,ZETAS-AGT LLC,Y,N,Standard,AZE
C101434,ENVIPROSYSTEMS S.A.,Y,N,Standard,GRC
C101438,TERRA STRATA CONSTRUCTION (PTY) LTD,Y,N,Standard,ZAF
C101447,SOLETANCHE BACHY CHILE SPA,Y,N,Standard,CHL
C101449,S.B. PROTECH PRIVATE LIMITED,Y,N,Standard,IND
C101456,KDM DARIUSZ MAZUR,Y,N,Standard,POL
C101484,SAVOY CRANE FZE,Y,N,Standard,AER
C101488,GEOING MK DOO,Y,N,Standard,MKD
C101519,WALKERS PILING (PVT) LIMITED,Y,N,Standard,LKA
C101527,BETON MATERIEL SERVICE - DRILLMAT,Y,N,Standard,FRA
C101531,PBM MELYEPITO KFT.,Y,N,Standard,HUN
C101548,DUCOVNY GROUND ANCHORING LTD,Y,N,Standard,ISR
C101557,SANKEN OVERSEAS (PVT) LTD.,Y,N,Standard,LKA
C101567,MANAL MACHINERY NIGERIA LIMITED,Y,N,Standard,NGA
C101623,EIFFAGE FONDATIONS,Y,N,Standard,FRA
C101627,"SICHUAN BUYMAX SOURCING CO., LTD.",Y,N,Standard,CHN
C101630,ANK CONSTRUCTION CO. PVT. LTD.,Y,N,Standard,NPL
C101634,HAW & INGLIS CIVIL ENGINEERING (PTY) LTD,Y,N,Standard,ZAF
C101639,SMET-BORING NV,Y,N,Standard,BEL
C101646,JAZA TRADING & SERVICES,Y,N,Standard,SGP
C101648,"J-YOUNG TECHNOLOGICAL SERVICE CO., LTD.",Y,N,Standard,KOR
C101670,THE DRILLINGS MANUFACTURE COMPANY S.R.L.,Y,N,Standard,ROM
C101679,GEO-ING Jihlava spol. s r.o.,Y,N,Standard,CZE
C101683,M. DVIR DRILLING LTD,Y,N,Standard,ISR
C101688,STFA SGTM NADOR SA,Y,N,Standard,MAR
C101709,N.C. DAS & CO.,Y,N,Standard,IND
C101719,BEIJING RAIL STAR MACHINERY CO.,Y,N,Standard,CHN
C101729,SUN-ADRIA D.O.O.,Y,N,Standard,HRV
C101732,GEOSEPAKAT ENGINEERING SDN. BHD.,Y,N,Standard,MYS
C101734,EVRIKON-METRO LLC,Y,N,Standard,RUS
C101744,VIRGIN TECHNIBUILD (INDIA) PVT LTD.,Y,N,Standard,IND
C101760,"SINCLAIR EQUIPMENT, LLC",Y,N,Standard,USA
C101777,MIPADH ENGINEERS LIMITED,Y,N,Standard,IND
C101784,"OOO ""NOVA-TECH""",Y,N,Standard,RUS
C101808,OLIZKI INFRASTRUCTURES LTD,Y,N,Standard,ISR
C000085,FRANKI AFRICA (PTY) LTD,Y,N,Standard,ZAF
C000107,TRIVELPALI S.R.L.,Y,N,Standard,ITA
C000216,OPERE GEOTECNICHE S.R.L.,Y,N,Standard,ITA
C000275,D.A.P.  S.R.L.,Y,N,Standard,ITA
C000295,FRATELLI AMADU TRIVELLAZIONI S.R.L.,Y,N,Standard,ITA
C000395,MPS LEASING & FACTORING S.p.A.,Y,N,Standard,ITA
C000398,IES  S.R.L.  INTERNATIONAL,Y,N,Standard,ITA
C000411,P.A.C. S.p.A.,Y,N,Standard,ITA
C000439,CIPA  S.P.A.,Y,N,Standard,ITA
C000478,CISANA SRL,Y,N,Standard,ITA
C000575,CONSOLIDA SRL,Y,N,Standard,ITA
C000657,NEGROPAL S.R.L.,Y,N,Standard,ITA
C000658,BIEMME INSONORIZZAZIONE  S.R.L.,Y,N,Standard,ITA
C000699,S.ME.G.O.S. S.A.S.,Y,N,Standard,ITA
C000737,CREDEMLEASING S.P.A.,Y,N,Standard,ITA
C000742,NDG S.R.L.,Y,N,Standard,ITA
C000745,ELETTROMEC SRL,Y,N,Standard,ITA
C000759,PERRI GIOVANNI,Y,N,Standard,ITA
C000817,"DUBAI FONDAZIONI DI D APOLLO GIUSEPPE ""NON USARE""",Y,N,Standard,ITA
C000833,TRIVELTERRE S.R.L.,Y,N,Standard,ITA
C000840,C.G.X. COSTRUZIONI GENERALI XODO S.R.L.,Y,N,Standard,ITA
C000843,EMMEGI  S.N.C.,Y,N,Standard,ITA
C000878,IDROGEO SRL,Y,N,Standard,ITA
C000884,CO.META CORAZZA METALMECCANICA SRL,Y,N,Standard,ITA
C000903,ALFAGOMMA HYDRAULIC S.P.A.,Y,N,Standard,ITA
C000905,HAWE ITALIANA S.R.L.,Y,N,Standard,ITA
C000920,TRIVELL FOND SRL,Y,N,Standard,ITA
C000940,ARTESIA POZZI PER ACQUA S.R.L.,Y,N,Standard,ITA
C000945,FORASOL MAROC,Y,N,Standard,MAR
C000948,SI.DE.COM. S.R.L.,Y,N,Standard,ITA
C000954,NORD FLUID S.P.A.,Y,N,Standard,ITA
C000982,ITALIAN FOUNDATION EQUIPMENT,Y,N,Standard,ITA
C001000,BFS ITALIA S.R.L.,Y,N,Standard,ITA
C001017,I.F.  S.R.L.,Y,N,Standard,ITA
C001019,CASAPPA S.P.A.,Y,N,Standard,ITA
C001031,CONDUCTIX-WAMPFLER S.R.L.,Y,N,Standard,ITA
C001051,SBE - VARVIT S.P.A.,Y,N,Standard,ITA
C001072,GRU COMEDIL S.R.L.,Y,N,Standard,ITA
C001079,IMPRESA PALIFICAZIONI ALSEO SRL,Y,N,Standard,ITA
C001083,T.I.V.  SRL,Y,N,Standard,ITA
C001086,KOLBEN SRL,Y,N,Standard,ITA
C001090,DELTA PERFORAZIONI ROCCE S.A.S.,Y,N,Standard,ITA
C001106,OPERE SPECIALISTICHE GEOTECNICHE SRL,Y,N,Standard,ITA
C001115,ANTONIO FABIO & C. SNC,Y,N,Standard,ITA
C001130,GEO-TECNICA EDILPALI S.R.L.,Y,N,Standard,ITA
C001132,SPOSATO COSTRUZIONI S.R.L.,Y,N,Standard,ITA
C001151,SOILTECH S.R.L.,Y,N,Standard,ITA
C001153,MICOS S.p.A.,Y,N,Standard,ITA
C001161,PICORENT S.R.L.,Y,N,Standard,ITA
C001220,BRIEDA & C. S.R.L.,Y,N,Standard,ITA
C001231,CENTRO RISORSE SRL,Y,N,Standard,ITA
C001235,DINAMIC OIL SPA con socio unico,Y,N,Standard,ITA
C001247,OLEO TECNICA S.R.L.,Y,N,Standard,ITA
C001249,BERTINO ALESSANDRO,Y,N,Standard,ITA
C001251,DISCARICHE SCRL,Y,N,Standard,ITA
C001252,FAREM FONDERIE ACCIAIO REMANZACCO SRL,Y,N,Standard,ITA
C001253,MIRETTI S.R.L.,Y,N,Standard,ITA
C001255,INTERFOND SRL,Y,N,Standard,ITA
C001258,GIVA SRL,Y,N,Standard,ITA
C001262,ITINERA S.p.A.,Y,N,Standard,ITA
C001265,DRILLING EQUIPMENT CONSULTING,Y,N,Standard,ITA
C001267,PFP PEDRINI S.R.L.,Y,N,Standard,ITA
C001268,TECNOFAI S.R.L.,Y,N,Standard,ITA
C001269,KF TEKNOTRADE S.R.L. S.U.,Y,N,Standard,ITA
C001270,CANON SOLUTIONS ITALIA NORD SRL A SOCIO UNICO,Y,N,Standard,ITA
C001274,ADRENALINA DRILLING S.R.L,Y,N,Standard,ITA
C001284,NORD LASER S.R.L.,Y,N,Standard,ITA
C001286,SPICAM S.R.L,Y,N,Standard,ITA
C001290,BOR.MEC. S.R.L.,Y,N,Standard,ITA
C001309,SEFI SERVICE S.R.L.,Y,N,Standard,ITA
C001318,TRIVELLAZIONI CUPO S.R.L.,Y,N,Standard,ITA
C001323,DOLOMITI ROCCE 4.0 S.P.A.,Y,N,Standard,ITA
C001325,SOLA MARCO BERNARDO,Y,N,Standard,ITA
C001327,MAZZEI SALVATORE S.R.L,Y,N,Standard,ITA
C001328,FILTEC SRL,Y,N,Standard,ITA
C001336,TRIVELLAZIONI DI PILU ANTONIO SNC,Y,N,Standard,ITA
C001340,CMP SRL,Y,N,Standard,ITA
C001351,GEOTECNICA PALAZZI GIOMARELLI SRL,Y,N,Standard,ITA
C001797,BACHY SOLETANCHE LIMITED,Y,N,Standard,GBR
C002572,ALAA INDUSTRIAL EQUIPMENT FACTORY,Y,N,Standard,SAU
C100451,MF EQUIPMENT (UK) LLP,Y,N,Standard,GBR
C100499,MILLER PILING LTD,Y,N,Standard,GBR
C100528,"OOO ""STROYMONTAZ-14""",Y,N,Standard,RUS
C100552,SARL SIFOR ENTREPRISE DE TRAVAUX GEOTECHNIQUES,Y,N,Standard,DZA
C100575,SOAL SH.P.K,Y,N,Standard,ALB
C100659,GEVA SOIL WORKS LTD.,Y,N,Standard,ISR
C100664,POMGRAD GNG D.O.O.,Y,N,Standard,SVN
C100697,"A.G.P. FUNDACIONES Y MUROS, C.A.",Y,N,Standard,VEN
C100719,GEOFUNDACIONES DE PANAMA S.A.,Y,N,Standard,PAN
C100749,EDRASIS MIDDLE EAST GENERAL TRADING&CONTRACTING CO,Y,N,Standard,KWT
C100753,GENIE CIVIL ENVIRONNEMENTAL SUARL,Y,N,Standard,SEN
C100851,MISR RAYMOND FOUNDATIONS S.A.E.,Y,N,Standard,EGY
C100988,GEOSONDA FUNDIRANJE A.D.,Y,N,Standard,SRB
C101828,SINGLA CONSTRUCTIONS LIMITED,Y,N,Standard,IND
C101837,SURYA INFRASTRUCTURES,Y,N,Standard,IND
C101839,MOST SF OY,Y,N,Standard,FIN
C101844,STANBIC BANK UGANDA LIMITED,Y,N,Standard,UGA
C101855,"OOO ""STARS""",Y,N,Standard,RUS
C101863,TZACHO P/S,Y,N,Standard,DNK
C101870,AFCONS INFRASTRUCTURE LDT MOZAMBIQUE,Y,N,Standard,MOZ
C101871,UNITED DYNAMICS ENGINEERING EQUIPMENT LIMITED,Y,N,Standard,HKG
C101872,GREEN PILING LTD,Y,N,Standard,GBR
C101877,VARTAN LTD.,Y,N,Standard,BGR
C101884,VENNER S.A.,Y,N,Standard,ARG
C101908,R.G.P. HIDROOPREMA D.O.O.,Y,N,Standard,SRB
C101922,GMC ENGINEERING COMPANY LIMITED,Y,N,Standard,THA
C101928,ICOP SWEDEN AB,Y,N,Standard,SWE
C101934,KOUDOU SARL,Y,N,Standard,LUX
C101965,S.C. DAVAL S.R.L.,Y,N,Standard,ROM
C101968,HINDUSTAN INFRASTRUCTURE SOLUTION,Y,N,Standard,IND
C102007,"OOO ""PRISS""",Y,N,Standard,RUS
C102008,CREDIT SUISSE (SUISSE) SA,Y,N,Standard,CHE
C102011,TRADING AND CONSULTING D.O.O.,Y,N,Standard,BIH
C102013,SOLAR FARM CONSTRUCTIONS PTY LTD,Y,N,Standard,AUS
C102014,KOMPLAST SH.P.K.,Y,N,Standard,XKX
C102020,EMS YAPI INSAAT TAAHHUT YATIRIM TICARET LTD,Y,N,Standard,TUR
C102024,F.HYCA S.R.O. - OGRANAK KRUSEVAC,Y,N,Standard,SRB
C102040,GCE FONDATIONS MALI SARL,Y,N,Standard,MLI
C102041,"OOO ""SK GEOLIDER""",Y,N,Standard,RUS
C102042,AGRICO MINING COMPANY LLP,Y,N,Standard,IND
C102043,ROBERTO CHELALA S.R.L.,Y,N,Standard,ARG
C102044,STARCON INFRA PROJECTS INDIA PVT.LTD.,Y,N,Standard,IND
C102045,BASALTO DRILLING SPA,Y,N,Standard,CHL
C102050,LIMITED LIABILITY COMPANY FENSMA,Y,N,Standard,RUS
C102052,G R INFRAPROJECTS LIMITED,Y,N,Standard,IND
C102062,BOTOND  99 MELYEPITO KFT,Y,N,Standard,HUN
C000101,TOSCOPALI FONDAZIONI S.R.L.,Y,N,Standard,ITA
C000103,TRIVEL POZZI DI CALZONE SALVATORE,Y,N,Standard,ITA
C000144,OTP  S.R.L.,Y,N,Standard,ITA
C000167,R.I.S. RICERCHE IDRICHE SOTTOSUOLO,Y,N,Standard,ITA
C000180,ANTONINI S.r.l.,Y,N,Standard,ITA
C000223,SO.GE.FOND.  S.R.L.,Y,N,Standard,ITA
C000305,EMMEGI  S.P.A.,Y,N,Standard,ITA
C000307,C.C.P. LAVORI SRL,Y,N,Standard,ITA
C000382,CO.GE.S. SRL  in fallimento,Y,N,Standard,ITA
C000399,CASAGRANDE HOLDING S.R.L.,Y,N,Standard,ITA
C000465,SG LEASING S.P.A.,Y,N,Standard,ITA
C000535,E.N.G.O.A.,Y,N,Standard,DZA
C000589,FONDAZIONI TECNOLOGICHE S.R.L.,Y,N,Standard,ITA
C000629,STORCI PERFORAZIONI S.R.L.,Y,N,Standard,ITA
C000631,CLARIS LEASING   S.P.A.,Y,N,Standard,ITA
C000670,GIRARDELLO S.R.L.,Y,N,Standard,ITA
C000738,CIPOLAT COSTRUZIONI METALLICHE SRL,Y,N,Standard,ITA
C000739,ADRENALINA S.R.L.,Y,N,Standard,ITA
C000770,HYDAC  S.P.A.,Y,N,Standard,ITA
C000782,FUTURA 90 S.R.L.,Y,N,Standard,ITA
C000835,CAMST  S.C.A.R.L.,Y,N,Standard,ITA
C000947,SOMITER S.R.L.,Y,N,Standard,ITA
C000963,BRESCIANA FONDAZIONI SRL - SOC.UNIPERSONALE,Y,N,Standard,ITA
C000965,HYSO MILTO,Y,N,Standard,ITA
C000977,SCF  S.R.L.,Y,N,Standard,ITA
C000980,ALBA LEASING S.P.A.,Y,N,Standard,ITA
C001004,RITCHIE BROS. ITALIA SRL,Y,N,Standard,ITA
C001042,METALCO SNC,Y,N,Standard,ITA
C001063,TLM DI ANDREANI ANTONIO S.R.L,Y,N,Standard,ITA
C001065,OF.RA  S.r.l. Officine Ravenna,Y,N,Standard,ITA
C001070,PSAILA AMBIENTE S.R.L.,Y,N,Standard,ITA
C001082,GAIA SERVIZI CIVILI ED INDUSTRIALI S.R.L.,Y,N,Standard,ITA
C001089,C.M.C.,Y,N,Standard,ITA
C001101,CAMA S.R.L.,Y,N,Standard,ITA
C001103,METLAB S.R.L.,Y,N,Standard,ITA
C101748,JOHN MOSCHOUS SA,Y,N,Standard,GRC
C101754,FOUNDATION PLANT & EQUIPMENT LTD,Y,N,Standard,GBR
C101755,BANGLADESH-INDIA FRIENDSHIP POWER COMPANY (PVT)LTD,Y,N,Standard,BGD
C101757,JDAW ENGINEERING PLC,Y,N,Standard,ETH
C101762,ALON YESODOT (DAIDA) AND D.S.A. KIDUHIM LTD,Y,N,Standard,ISR
C101764,OP FINANCE SIA,Y,N,Standard,LVA
C101779,BOESAN FOUNDATION ENGINEERING COMPANY LIMITED,Y,N,Standard,HKG
C101780,STRABAG EPITOIPARI ZRT.,Y,N,Standard,HUN
C101781,GRISONI-ZAUGG SA,Y,N,Standard,CHE
C101786,UAB OMOTEX,Y,N,Standard,LTU
C101796,EAST COAST SLURRY,Y,N,Standard,USA
C101797,SENERGY SAS,Y,N,Standard,FRA
C101802,PANATH CONSTRUCTION LTD,Y,N,Standard,CYP
C101806,SOLID ENGINEERING PTE. LTD.,Y,N,Standard,SGP
C101807,HUASING CONSTRUCTION & TRADING PTE LTD,Y,N,Standard,SGP
C101809,STRABAG BMTI KFT.,Y,N,Standard,HUN
C101810,KEYA INFRACON,Y,N,Standard,IND
C101811,FUNDAMENT-SPECJAL SP. Z O.O.,Y,N,Standard,POL
C101812,EASYTRANS d.o.o.,Y,N,Standard,SVN
C101816,INTERNATIONAL PROJECTS & CONSULTING CO.,Y,N,Standard,EGY
C101820,GEOEDRA ROM SRL,Y,N,Standard,ROM
C101821,RKEC PROJECTS LIMITED,Y,N,Standard,IND
C101826,GMT DNIPRO LLC  (NON USARE INCOMPLETA!!!),Y,N,Standard,UKR
C101827,AUSTRALIA MINING EXPORT PTY. LTD.,Y,N,Standard,AUS
C101833,DYNACO LIMITED,Y,N,Standard,UGA
C101850,TATA PROJECTS LIMITED,Y,N,Standard,IND
C101851,INTER-SERVICE PAWEL SZCZUREK,Y,N,Standard,POL
C101852,"TOO ""QUANTUMMAX LTD""",Y,N,Standard,KAZ
C101857,AFCONS INFRASTRUCTURE LIMITED - SUCCURSALE SARL,Y,N,Standard,MRT
C101859,BOREN-FLIT LTD.,Y,N,Standard,UKR
C101869,SAS BOUYGUES TRAVAUX PUBLICS,Y,N,Standard,FRA
C101875,SASU RAZEL-BEC,Y,N,Standard,FRA
C101878,STRABAG EPITO KFT.,Y,N,Standard,HUN
C101890,GAMPERL & HATLAPA GMBH,Y,N,Standard,DEU
C101891,AFCONS OVERSEAS SINGAPORE PTE. LTD IVORY COAST,Y,N,Standard,CIV
C101892,S.C. FORETIS FUNDATII SI CONSTRUCTII SPECIALE SRL,Y,N,Standard,ROM
C101896,"OOO ""BELSTROYREKONSTRUKTSIYA""",Y,N,Standard,BLR
C101909,AFCONS INFRASTRUCTURE LIMITED / MORD,Y,N,Standard,GHA
C101910,DROEMA S.A.,Y,N,Standard,URY
C101911,M.M. DRILLING LTD,Y,N,Standard,ISR
C101916,DIGI SOLUTIONS LLC,Y,N,Standard,UKR
C101917,ABCI INFRASTRUCTURES PRIVATE LTD,Y,N,Standard,IND
C101927,"JSC ""TOJIKGIDROELECTROMONTAJ""",Y,N,Standard,TJK
C101935,AL FAROUK FOR FOUNDATIONS & CONSTRUCTIONS,Y,N,Standard,EGY
C101941,TOWERS FOUNDATION FOR IMPORT & EXPORT,Y,N,Standard,EGY
C101943,HYDROTRONIC SERVICES LTD,Y,N,Standard,NGA
C101945,KIRSAN COM SRL,Y,N,Standard,MDA
C101946,HAKODHIM I. AT SWISA,Y,N,Standard,ISR
C101972,TEK ENERGY CAPITAL DWC - LLC,Y,N,Standard,AED
C101978,LAMA NIGERIA LIMITED,Y,N,Standard,NGA
C101980,GUDRILL LTD.,Y,N,Standard,ISR
C101983,STE HAI PENG GROUP SARL,Y,N,Standard,COD
C101985,INTRACOM CONSTRUCTIONS SOCIETE ANONYME,Y,N,Standard,GRC
C101986,KELLER-VSL JOINT VENTURE,Y,N,Standard,GBR
C101989,SIEMENS FINANCIAL SERVICES LTD.,Y,N,Standard,GBR
C101999,POSTEC SPA,Y,N,Standard,CHL
C102018,"ROHRSCHEIB SONS CAISSONS, Inc.",Y,N,Standard,USA
C102031,DAN DRILLING LTD,Y,N,Standard,ISR
C102035,SPIE FONDATIONS SUCCURSALE COTE D IVOIRE,Y,N,Standard,CIV
C102037,AMERICAN VIAL GROUP S.R.L.,Y,N,Standard,ARG
C000089,BALFOUR BEATTY GROUND ENGINEERING LTD.,Y,N,Standard,GBR
C000160,I.CO.LER S.R.L.,Y,N,Standard,ITA
C000169,C.M.F. DI FOGLINO SERGIO & C. SNC,Y,N,Standard,ITA
C000251,IPOGEO S.R.L.,Y,N,Standard,ITA
C000264,CALZOLARI PERFORAZIONI  Srl,Y,N,Standard,ITA
C000288,SALES S.P.A.,Y,N,Standard,ITA
C000309,IVECOS SPA,Y,N,Standard,ITA
C000315,TURCO MECCANICA S.R.L.,Y,N,Standard,ITA
C000317,GEO CAMPANIA S.R.L.,Y,N,Standard,ITA
C000400,COLLI EQUIPMENT S.P.A.,Y,N,Standard,ITA
C000407,PROJECT S.R.L.,Y,N,Standard,ITA
C000452,IMPRESA LUIGI NOTARI S.P.A.,Y,N,Standard,ITA
C000495,C.O.SPE. S.R.L. COSTRUZIONI OPERE SPECIALI,Y,N,Standard,ITA
C000582,VIPP LAVORI SRL in LIQUIDAZIONE,Y,N,Standard,ITA
C000604,PARENTI COSTRUZIONI SNC,Y,N,Standard,ITA
C000607,REDAELLI TECNA S.P.A. - DIVISIONE TECI,Y,N,Standard,ITA
C000621,PERRI LUCIANO,Y,N,Standard,ITA
C000682,TRACK ONE  S.R.L.,Y,N,Standard,ITA
C000689,KABELSCHLEPP ITALIA S.R.L.,Y,N,Standard,ITA
C000708,TRIVE DI AVARELLO CARMELA & C. S.A.S.,Y,N,Standard,ITA
C000717,TRIVELLAZIONI D AURIA VITTORIO S.R.L.,Y,N,Standard,ITA
C000721,ICCREA BANCAIMPRESA S.P.A.,Y,N,Standard,ITA
C000730,BERLANDA FONDAZIONI SRL in liquidazione,Y,N,Standard,ITA
C000740,SARDALEASING S.P.A.,Y,N,Standard,ITA
C000767,S.A.O.S. S.r.l.,Y,N,Standard,ITA
C000841,WURTH  S.R.L.,Y,N,Standard,ITA
C000862,ADOS S.R.L.,Y,N,Standard,ITA
C000944,GOLINRECYCLING S.R.L.,Y,N,Standard,ITA
C000950,OPERE PER IL SOTTOSUOLO S.R.L.,Y,N,Standard,ITA
C000220,C.M.A. S.P.A.,Y,N,Standard,ITA
C000277,MPM S.R.L.,Y,N,Standard,ITA
C000300,EDRASIS C. PSALLIDAS S.A.,Y,N,Standard,GRC
C000301,URI S.P.A.,Y,N,Standard,ITA
C000341,IRA S.R.L.,Y,N,Standard,ITA
C000357,DRENATER  S.R.L.,Y,N,Standard,ITA
C000368,EUROFONDAZIONI 2000 S.R.L.,Y,N,Standard,ITA
C000372,FRAER LEASING S.P.A.,Y,N,Standard,ITA
C000388,OVIENI & C. S.R.L.,Y,N,Standard,ITA
C000435,ORLLATI LOGISTIQUE SA,Y,N,Standard,CHE
C000443,PALINGEO S.R.L.,Y,N,Standard,ITA
C000501,CUMMINS ITALIA  S.P.A.,Y,N,Standard,ITA
C000506,GEOFONDAZIONI INGEGNERIA E LAVORI SRL,Y,N,Standard,ITA
C000578,MORANI S.R.L.,Y,N,Standard,ITA
