Value/K,Name,Description,SKU,IsActive,IsSummary,M_Product_Category_ID[Value],C_TaxCategory_ID[Name],C_UOM_ID[Name],ProductType,R_MailText_ID[Name],Weight,Volume,IsOwnBox,M_FreightCategory_ID[Value],IsDropShip,IsStocked,M_Locator_ID,IsManufactured,IsPhantom,ShelfWidth,IsKanban,IsSelfService
MBC-1X-F8-10,SCHEDA CENTRALE RILEVAZ. 8 ZONE CARRIER,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
SEN-STS3REL,SCHEDA A 3 RELE' RILEVATORI SMART3GC,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
SK-16R,SCHEDA A 16 RELE' CON CAVO FLAT,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
INCMPR,SCATOLA INCASSO LINERGY  PRODIGY PER 24W,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
GW44207CM,SCATOLA GEWISS 190X140 70 LISCE IP56,,,Y,N,IMP,Cat. IVA 22% ,meter,I,,0,0,N,,N,Y,,N,N,0,N,N
GW44204CM,SCATOLA GEWISS 100X100  50  LISCE IP56,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
SCALA,SCALA DI SICUREZZA,,,Y,N,PRES,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
3359746,"SAVER PP10
SAVER P MASCH. PIENOFACCIALE",,,Y,N,PRES,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
SACCO,SACCO SEPIOLITE DA KG.20,,,Y,N,EST,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
2146MB,SACCO SEPIOLITE DA KG.10,,,Y,N,EST,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
CA50RGIBI,RUOTE TELAIO CARRELLATO 50KG POLV GIBI,,,Y,N,EST,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
0124EM,RUOTE TELAIO CARRELLATO 50KG POLV,,,Y,N,EST,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
180000071,"RUBINETTO SFERA MOD.ASTER FIL.GAS FF3/8""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
180000172,"RUBINETTO SFERA MOD.ASTER FIL.GAS FF3/4""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
180000170,"RUBINETTO SFERA MOD.ASTER FIL.GAS FF2""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
180000070,"RUBINETTO SFERA MOD.ASTER FIL.GAS FF1/4""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
180000171,"RUBINETTO SFERA MOD.ASTER FIL.GAS FF1/2""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
180000069,"RUBINETTO SFERA MOD. ASTER FIL.GAS FF4""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
180000068,"RUBINETTO SFERA MOD. ASTER FIL.GAS FF3""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
180000072,"RUBINETTO SFERA ASTER FIL.GAS FF2""1/2""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
180000174,"RUBINETTO SFERA ASTER FIL.GAS FF1""1/4""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
180000173,"RUBINETTO SFERA ASTER FIL.GAS FF1""1/2""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
180000175,"RUBINETTO MOD.ASTER SFERA  FIL.GAS MF1""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
0640EM,"RUBINETTO IDR UNI70X2""1/2 PN16",,,Y,N,IDR,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
0641EN,"RUBINETTO IDR UNI45X1""1/2 PN16 ISO 7",,,Y,N,IDR,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
680000096,"RUBINETTO GALLEG. C/ASTA FIL.GAS M3/4""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
680000100,"RUBINETTO GALLEG. C/ASTA FIL.GAS M2""1/2""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
680000093,"RUBINETTO GALLEG. C/ASTA FIL.GAS M2""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
680000095,"RUBINETTO GALLEG. C/ASTA FIL.GAS M1/2""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
680000099,"RUBINETTO GALLEG. C/ASTA FIL.GAS M1""1/4""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
680000098,"RUBINETTO GALLEG. C/ASTA FIL.GAS M1""1/2""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
680000092,"RUBINETTO GALLEG. C/ASTA FIL.GAS  M1""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
0641EM,"RUB IDRANTE UNI 45 X1""1/2  PN16 ISO 7",,,Y,N,IDR,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
JDR79605,RONDELLA JDR 79605,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
JDR51936,RONDELLA JDR 51936,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
KIL KL710A,"RIVELATORE TERMOVELOCIMETRICO INDIRIZZ,",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
ESR 800271,RIVELATORE TERMOVELOCIMETRICO DI CALORE,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
RK/100-RS,RIVELATORE RIFLESSIONE 100M 12/24V VER.S,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
ESR 802371,RIVELATORE OTTICO DI FUMO IQ8 QUAD,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
BNT 601P,RIVELATORE OTTICO CONVENZIONALE,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
BNT FC460P,RIVELATORE OTTICO ANALOGICO,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
ESR 800371,RIVELATORE DI FUMO OTTICOES DETECT,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
KIL KL731A,RIVELATORE DI FUMO OTTICO ANAL. INDIRIZZ,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
RK/70/B,RIVELATORE A BARRIERA 12/24V,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
706017,RISCALDATORE OLIO RO-405 350W 230V,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
INI-55000-401,RILEVATORE TERMICO ALTA TEMP.,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
SISM,RILEVATORE SISMICO SEISMIC M16,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
INI APO-55000-620,RILEVATORE OTTICO DI FUMO INDIRIZZATO,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
SEN-S2130CO,RILEVATORE GAS TOSSICI SMART3G-C3,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
TCC SE237KG,RILEVATORE GAS IP65 RELE' SENS.CATAL.GPL,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
TCC SE237KM,RILEVATORE GAS IP65 RELE' SENS.CAT.CH14,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
TEC-SE237PB,RILEVATORE GAS IP65 CON RELE',,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
SEN-S2151AC,RILEVATORE GAS INFIAMMABILI SMART3G-C2,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
SEN-S2155ST,RILEVATORE GAS INFIAMMABILI SMART3G,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
10SI,RILEVATORE FUMO ARITECH,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
DT2063N,RILEVATORE DT2063N ARITECH,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
 DP721R,RILEVATORE DP721R GE DX700 ARITECH,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
 DP2061N,RILEVATORE DP2061N ARITECH,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
ESR800371,RILEVATORE DI FUMO OTTICO NON INDIR.,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
SEN-S2400CO-VB,RILEVATORE CO VB PER AUTORIM. USC.RS485,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
OA-O,RILEVAT. OTTICO DI FUMO ANALOGICO ORION,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
OA-T,RILEV.TERMICO ANALOGICO SERIE ORION,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
FX/01,RIFLETTORE OTTICO PER RIV. LIN.DIAM.85MM,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
0671EM,RIDUZIONE FISSA UNI M70  X  M45,,,Y,N,IDR,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
0647EM,RIDUZIONE FISSA UNI M 70  X F 45,,,Y,N,IDR,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
0646EM,RIDUZIONE FISSA UNI M 45 X F 70,,,Y,N,IDR,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
0689EM,RIDUZIONE FISSA UNI F70  X  M45,,,Y,N,IDR,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
0687EM,RIDUZIONE FISSA UNI F70  X  F45,,,Y,N,IDR,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
7770000320,"RIDUZ. 241 ATT.FIL.GAS MF3/8""X1/4""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
7770000326,"RIDUZ. 241 ATT.FIL.GAS MF3/4""X1/2""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
7770000354,"RIDUZ. 241 ATT.FIL.GAS MF3""X2""1/2""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
7770000344,"RIDUZ. 241 ATT.FIL.GAS MF2""X1""1/2""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
7770000350,"RIDUZ. 241 ATT.FIL.GAS MF2""1/2X2""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
7770000323,"RIDUZ. 241 ATT.FIL.GAS MF1/2""X3/8""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
7770000330,"RIDUZ. 241 ATT.FIL.GAS MF1""X3/4""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
7770000334,"RIDUZ. 241 ATT.FIL.GAS MF1""1/4X1""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
7770000339,"RIDUZ. 241 ATT.FIL.GAS MF1""1/2X1""1/4""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
DPI12,RETRATTILE ANTICADUTA EN360,,,Y,N,PRES,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
RFD001420,RELE'4 SCAMBI 24VDC  P/ZOCC.14 CONT.PLDI,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
RFD0153Q,RELE'2 SCAMBI 24VDC COD.5290,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
RFD01641,RELE'2 SCAMBI 24VAC COD.5280,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
RACC3X1,"RACCORDO DA 3"" X 1"" F",,,Y,N,ZZZ,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
RACC3,"RACCORDO DA 3""",,,Y,N,ZZZ,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
B04624,QUADRO VETROR 65X43X21CM PORTA T.IP65,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
GW46234,"QUADRO ELETTR. OBLO VETRO 65X40,4X20",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
GW42006,QUADRO DIS.30X20X8,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
942408458T,PUSH BAR MODULARE NERO/ROSSO DA 840MM,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
942413058T,PUSH BAR MODULARE NERO/ROSSO DA 1300MM,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
942411758T,PUSH BAR MODULARE NERO/ROSSO DA 1170MM,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
IMP020,PULSANTE SGANCIO,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
KIL KAL455,PULSANTE MANUALE INDIRIZZATO IP44 EN54,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
NOTM5A-RP02SG-N026-01,PULSANTE MAN. INDIRIZ. A ROTTURA VETRO,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
IMP023,PULSANTE EVACUAZIONE,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
CSA4930010FUL-0048XC,PULSANTE CONVENZIONALE EN-54.11,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
IMP021,PULSANTE ALLERTAMENTO,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
XMP,PRESSOSTATO XMP IP54 IEC/EN60947-4-1,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
DA60127439EL,PRESSOSTATO KPI36 IP55 DANFOSS,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
PRES2,PRESIDIO ANTINCENDIO,,,Y,N,PRES,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
PREM02,PREMESCOLATORE SCHIUMOGENO TRIM.,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
PREM01,PREMESCOLATORE SCHIUMOGENO,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
PREM03,PREMESCOLATORE,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
PORT0008,PORTONE SCORREVOLE REI 180,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
PORT0006,PORTONE SCORREVOLE REI 120,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
PORT0016,PORTONE SCORR.2 ANTE,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
PORT0013,PORTONE SCORR.1 ANTA,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
PORT0009,PORTONE SALISCENDI REI,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
4470 GH,PORTELLO X CASS. IDR. INCASSO UNI70 TEX,,,Y,N,IDR,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
4445GH,PORTELLO X CASS. IDR. INCASSO UNI45 TEX,,,Y,N,IDR,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
4445,PORTELLO TEXAS 45,,,Y,N,IDR,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
354930IE,PORTAEST. X  AUTOMEZZI CINGHIA VARIABILE,,,Y,N,EST,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
PORT.GEN,PORTA TAGLIAFUOCO REI120 PROGET,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
PORT0002,PORTA REI 120 - 2 ANTE,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
PORT0001,PORTA REI 120 - 1 ANTA,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
PORT0007,PORTA REI - 2 ANTE,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
PORT0003,PORTA REI - 1 ANTA,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
PORT0005,PORTA - 2 ANTE,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
PORT0004,PORTA - 1 ANTA,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
2002,POMPA JOCKER TRIMESTRALE,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
02002S,POMPA JOCKER SEMESTRALE,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
02002M,POMPA JOCKER MENSILE,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
07076.16,PLACCA ESTERNA CON MANIGLIA E FY,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
41000203,PIASTRA MONTAGGIO X TS91 ELOX,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
55756,PIASTRA DI MONTAGGIO EN1154 PER TS 2000,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
OCTA180COS,PIANTANA+ASTA+CART.ORO SATIN OTTAGON,,,Y,N,EST,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
OCTA180CO,PIANTANA+ASTA+CART.ORO LUCIDO OTTAGON,,,Y,N,EST,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
OCTA180CRR,PIANTANA+ASTA+CART.CROMO ROSSO OTTAGON,,,Y,N,EST,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
OCTA180CR,PIANTANA+ASTA+CART.CROMO OTTAGON,,,Y,N,EST,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
OCTA180CN,PIANTANA+ASTA+CART.CROMO NERO OTTAGON,,,Y,N,EST,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
726RCR,PIANTANA+ASTA+CART.CROMATA MOD.ROMBO,,,Y,N,EST,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
OCTA180C,PIANTANA+ASTA+CART.CROMATA INOX OTTAGON,,,Y,N,EST,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
726RR SAC,PIANTANA ROSSA MOD.ROMBO (BASE),,,Y,N,EST,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
OCTA180R SAC,PIANTANA ROSSA MOD.OCTAGON (BASE),,,Y,N,EST,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
726RCR SAC,PIANTANA CROMATA MOD.ROMBO (BASE),,,Y,N,EST,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
OCTA180CR SAC,PIANTANA CROMATA MOD.OCTAGON  (BASE),,,Y,N,EST,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
OCTA180N,PIANTANA +ASTA+CART.NERA MOD.OTTAGON,,,Y,N,EST,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
726RR,PIANTANA +ASTA+CART. ROSSA MOD.ROMBO,,,Y,N,EST,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
OCTA180R,PIANTANA +ASTA+CART. ROSSA MOD.OTTAGON,,,Y,N,EST,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
P.INTERR,PIANT. UNI45/70  PER TERRENO,,,Y,N,IDR,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
3001,PIANT. P/CASS UNI45/70 UTHA ROSSA H.80,,,Y,N,IDR,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
3002GH,PIANT. P/CASS UNI45/70 UTHA INOX H.80,,,Y,N,IDR,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
4006GH,PIANT. P/CASS UNI45/70 TEXAS H.80,,,Y,N,IDR,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
3001MINI,PIANT P/CASS UNI45/70 UTHA ROSSA H.50,,,Y,N,IDR,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
4102003001,PERNO PORTA SFERE PER PORTA NINZ,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
FFC12,PARANCO A LEVA,,,Y,N,PRES,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
FFC11,PARANCO A CATENA,,,Y,N,PRES,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
DOA FI/A,PANNELLO OTTICO ACUSTICO AUTOALIMENTATO,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
680000103,"PALLA RAME 310 X GALLEGG. 1"" DN 150",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
680000105,"PALLA RAME 110 X GALLEGG.1""1/2 DN200",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
PALINA1,"PALINA FERRO A T Meter 2,1",,,Y,N,CART,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
8601,PACCO REINTEGRO C  BASE ALL 2  <3,,,Y,N,PRES,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
9601,PACCO REINTEGRO A-B ALL1 >3 CON SFIGMOM,,,Y,N,PRES,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
9601/NS,PACCO REINTEGRO A-B ALL 1 >3  NO SFIMOM,,,Y,N,PRES,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
VGS-DU-CO2/2,NOTIFIER VGS-DU-CO2/2 RIVEL  ANIDR CARB,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
SUS758,NOTIFIER VETRINO SUS758,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
DSE1-PW,NOTIFIER SIRENA OTT/ACUSTICA EN54-3 IP44,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
WSS-PR-I02,NOTIFIER SIRENA INDIR.D.DA LOOP CON LAMP,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
WST-PR-I02,NOTIFIER SIRENA INDIR.D.DA LOOP 15-32VCC,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
INDICATOR,NOTIFIER RIPETITORE OTTICO PER SENSORI,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
SD-851EA,NOTIFIER RILEVATORE OTTICO SD 851 E,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
NFXI-SMeter2,NOTIFIER RILEVATORE OTTICO NFXI-SMeter2,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
NFXI-OPT,NOTIFIER RILEVATORE OTTICO INDIRIZZATO,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
G700C-RL,NOTIFIER RILEVATORE METANO IP55,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
RID24-12,NOTIFIER RIDUTTORE TENS 24VCC/VCA 12VCC,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
MK700,NOTIFIER PULSANTE MK 700 ACI,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
